transaction_day,total_transactions,fraud_transactions,fraud_rate,total_amount
46,2786,117,0.04199569274946159,350759.5560000035
47,2971,91,0.030629417704476608,409783.01000000373
48,3062,115,0.03755715218811234,434648.7720000051
49,3053,121,0.03963314772355061,429248.4400000039
50,3336,175,0.05245803357314149,489133.4660000051
51,2826,148,0.052370842179759375,336122.88300000376
52,2333,114,0.0488641234462066,236248.73200000197
53,2908,79,0.027166437414030263,428976.17000000394
54,2798,112,0.040028591851322376,385736.61200000346
55,2771,76,0.02742692168892097,388438.1160000036
56,2789,158,0.05665112943707422,387303.3610000039
57,3274,109,0.03329260843005498,491908.8100000048
58,2681,102,0.03804550540842969,334908.53000000387
59,2402,168,0.06994171523730225,243780.40200000256
60,2932,108,0.036834924965893585,422733.3390000038
61,3111,112,0.03600128576020572,454577.83600000496
62,3057,165,0.053974484789008834,529838.1190000057
63,3975,163,0.041006289308176104,560621.2010000083
64,4317,234,0.054204308547602505,614500.4489999998
65,3209,183,0.05702711124961047,397885.40500000614
66,2584,85,0.03289473684210526,269940.15900000377
67,3223,120,0.03723239218119764,418562.1850000059
68,3158,111,0.035148828372387586,496993.1300000063
69,3130,118,0.03769968051118211,455439.51100000326
70,2913,145,0.049776862341228974,396014.4650000038
71,3267,152,0.04652586470768289,465879.3900000054
72,2744,94,0.034256559766763846,323722.68900000374
73,2304,135,0.05859375,216787.89500000238
74,3122,120,0.03843689942344651,457877.52700000437
75,3054,110,0.03601833660772757,421229.5190000045
76,3456,144,0.041666666666666664,544175.974000005
77,3006,125,0.041583499667332005,450696.63700000424
78,3166,100,0.03158559696778269,461531.2800000041
79,2688,113,0.04203869047619048,323006.02900000336
80,2204,66,0.029945553539019964,233725.84700000272
81,2863,105,0.03667481662591687,342179.778000002
82,2970,95,0.03198653198653199,385221.84300000407
83,2934,81,0.027607361963190184,379160.91700000345
84,3350,116,0.03462686567164179,568699.663000004
85,3574,187,0.052322327923894796,567179.9370000043
86,2661,125,0.04697482149567832,346348.01400000445
87,2549,99,0.03883876029815614,308657.5860000045
88,3021,75,0.024826216484607744,456236.41600000614
89,3226,114,0.035337879727216366,503736.59800000826
90,3353,132,0.0393677303906949,558790.3850000049
91,4007,180,0.04492138757174944,634343.6260000004
92,6252,147,0.023512476007677544,1000660.3999999787
93,4524,151,0.033377541998231654,582021.1970000031
94,2931,81,0.027635619242579325,347501.14000000653
95,3711,150,0.04042037186742118,541885.9310000079
96,3243,91,0.028060437866173297,455987.43300000293
97,3102,135,0.043520309477756286,471890.4460000055
98,3666,129,0.03518821603927987,515023.744000005
99,3301,105,0.03180854286579824,490794.98600000516
100,3052,100,0.0327653997378768,398940.91900000535
101,2500,68,0.0272,292781.78700000455
102,3166,105,0.03316487681617183,439746.32700000535
103,3101,97,0.03128023218316672,417752.4700000056
104,3115,111,0.03563402889245586,464152.606000005
105,3034,132,0.043506921555702044,436601.5220000036
106,3221,152,0.04719031356721515,475316.6530000051
107,2809,127,0.04521181915272339,337977.29000000417
108,2287,96,0.04197638828159161,257127.39400000274
109,3151,133,0.04220882259600127,470397.3910000054
110,3018,117,0.03876739562624255,423710.62600000534
111,3180,102,0.03207547169811321,452889.5870000052
112,3225,139,0.04310077519379845,445948.9930000044
113,3227,161,0.049891540130151846,476873.3080000046
114,2758,150,0.05438723712835388,325622.3470000037
115,2461,139,0.056481105241771634,262452.8120000034
116,3111,163,0.05239472838315654,441217.9310000053
117,3042,194,0.06377383300460224,425320.630000002
118,3179,117,0.03680402642340359,412130.14000000496
119,3300,145,0.04393939393939394,463689.7170000045
120,3941,181,0.04592742958639939,598865.3110000017
121,3017,121,0.04010606562810739,392234.26000000484
122,2507,64,0.025528520143597924,260682.7550000042
123,3390,128,0.03775811209439528,496399.0870000072
124,4202,89,0.021180390290337935,573122.1680000061
125,3467,148,0.04268820305739833,489319.9580000062
126,3051,102,0.03343166175024582,400148.46900000446
127,3335,84,0.025187406296851574,463336.09500000614
128,2507,69,0.027522935779816515,297368.13500000356
129,2348,130,0.05536626916524702,233850.68400000266
130,2807,95,0.033843961524759526,384244.6760000044
131,2822,105,0.03720765414599575,385329.96600000386
132,2752,108,0.03924418604651163,397553.67500000435
133,2687,136,0.05061406773353182,361934.47800000303
134,2937,103,0.035069799114742936,425587.0810000053
135,2429,90,0.03705228489090161,296648.92400000355
136,2048,73,0.03564453125,228299.40800000302
137,2914,69,0.02367879203843514,386546.7580000047
138,2846,112,0.03935347856640899,372342.0740000039
139,2769,61,0.022029613578909354,393760.07300000405
140,2629,103,0.03917839482693039,368319.93100000406
141,3000,131,0.043666666666666666,449601.94700000476
142,2391,103,0.04307820995399415,323239.6530000042
143,2064,71,0.03439922480620155,237400.73200000197
144,2718,90,0.033112582781456956,388563.9510000048
145,2668,67,0.025112443778110945,369276.8220000042
146,2990,98,0.03277591973244147,402561.9090000049
147,2718,79,0.029065489330389993,412021.493000004
148,3060,86,0.028104575163398694,436821.8840000046
149,2289,66,0.028833551769331587,294868.2490000034
150,2209,69,0.03123585332729742,251966.34400000272
151,3101,99,0.03192518542405676,476054.0360000067
152,3896,120,0.030800821355236138,545814.6220000056
153,3105,126,0.04057971014492753,449279.01800000493
154,3783,94,0.024848004229447527,526717.0010000083
155,3352,119,0.035501193317422436,508477.42400000733
156,2575,54,0.020970873786407766,373964.702000004
157,2259,69,0.03054448871181939,237301.04000000344
158,3048,81,0.0265748031496063,405959.98800000496
159,2845,89,0.031282952548330405,371349.2440000038
160,2878,85,0.029534398888116747,400343.7360000032
161,2854,68,0.023826208829712685,400403.7760000034
162,3233,114,0.03526136715125271,462626.9580000057
163,2880,136,0.04722222222222222,355112.2600000031
164,2988,77,0.025769745649263723,326212.24500000366
165,3038,73,0.02402896642527979,415405.9620000056
166,2931,94,0.03207096554077107,406088.43700000463
167,3020,119,0.03940397350993378,417493.8900000042
168,2948,116,0.03934871099050204,420840.8970000036
169,3191,146,0.04575368223127546,478506.3670000054
170,2409,101,0.04192611041926111,290520.327000003
171,2795,68,0.024329159212880144,295927.63700000365
172,3160,81,0.025632911392405065,440549.0430000057
173,2866,142,0.04954640614096301,403437.8580000047
174,2837,87,0.030666196686640817,401191.66500000434
175,2683,108,0.04025344763324636,391878.6330000034
176,3032,145,0.04782321899736148,476897.8070000044
177,2364,109,0.0461082910321489,288088.8270000033
178,2068,88,0.0425531914893617,221811.80800000194
179,2177,66,0.03031694993109784,242488.95100000236
180,2618,98,0.0374331550802139,401072.0750000037
181,2739,122,0.04454180357794816,422578.5440000044
182,2754,119,0.043209876543209874,472199.8160000046
