feature_name,source_type,spark_type,null_ratio,distinct_non_null,dominant_ratio,top_category_coverage,cardinality_bucket,included,inclusion_decision
id_24,string,string,0.986092,9,,,low,False,drop_high_null
id_25,string,string,0.985535,67,,,high,False,drop_high_null
id_26,string,string,0.985223,37,,,high,False,drop_high_null
id_27,string,string,0.985188,2,,,low,False,drop_high_null
id_28,string,string,0.610953,2,0.65055,1.0,low,True,include_string
id_29,string,string,0.610953,2,0.647422,1.0,low,True,include_string
id_30,string,string,0.850209,66,0.229573,0.653435,high,True,include_string_topk
id_31,string,string,0.612865,111,0.141459,0.656637,high,False,drop_high_cardinality_low_coverage
id_32,string,string,0.849896,4,0.597869,1.0,low,True,include_string
id_33,string,string,0.855459,82,0.184508,0.756074,high,True,include_string_topk
id_34,string,string,0.848574,3,0.723536,1.0,low,True,include_string
id_35,string,string,0.610883,2,0.61201,1.0,low,True,include_string
id_36,string,string,0.610883,2,0.97078,1.0,low,True,include_string
id_37,string,string,0.610883,2,0.811277,1.0,low,True,include_string
id_38,string,string,0.610883,2,0.610312,1.0,low,True,include_string
identity_present,numeric,double,0.0,2,,,low,True,include_numeric
log_transactionamt,numeric,double,0.0,3590,,,high,True,include_numeric
m1,string,string,0.573748,2,0.999918,1.0,low,False,drop_dominant_value
m2,string,string,0.573748,2,0.864018,1.0,low,True,include_string
m3,string,string,0.573748,2,0.746798,1.0,low,True,include_string
m4,string,string,0.364638,3,0.543151,1.0,low,True,include_string
m5,string,string,0.610292,2,0.507852,1.0,low,True,include_string
m6,string,string,0.433449,2,0.569105,1.0,low,True,include_string
m7,string,string,0.671732,2,0.861349,1.0,low,True,include_string
m8,string,string,0.671732,2,0.660947,1.0,low,True,include_string
m9,string,string,0.671732,2,0.813791,1.0,low,True,include_string
p_emaildomain,string,string,0.144576,58,0.508739,0.951711,high,True,include_string_topk
productcd,string,string,0.0,5,0.591029,1.0,low,True,include_string
r_emaildomain,string,string,0.614743,46,0.548014,0.965523,high,True,include_string_topk
transactionamt,numeric,double,0.0,3362,,,high,True,include_numeric
transactiondt,numeric,bigint,0.0,26962,,,high,True,include_numeric
v1,numeric,double,0.585535,1,,,constant,False,drop_constant_or_empty
v10,numeric,double,0.585535,5,,,low,True,include_numeric
v100,numeric,double,0.000522,21,,,medium,True,include_numeric
v101,numeric,double,0.000522,44,,,high,True,include_numeric
v102,numeric,double,0.000522,75,,,high,True,include_numeric
v103,numeric,double,0.000522,56,,,high,True,include_numeric
v104,numeric,double,0.000522,15,,,medium,True,include_numeric
v105,numeric,double,0.000522,31,,,high,True,include_numeric
v106,numeric,double,0.000522,29,,,medium,True,include_numeric
v107,numeric,double,0.000522,2,,,low,True,include_numeric
v108,numeric,double,0.000522,8,,,low,True,include_numeric
v109,numeric,double,0.000522,7,,,low,True,include_numeric
v11,numeric,double,0.585535,5,,,low,True,include_numeric
v110,numeric,double,0.000522,8,,,low,True,include_numeric
v111,numeric,double,0.000522,10,,,low,True,include_numeric
v112,numeric,double,0.000522,9,,,low,True,include_numeric
v113,numeric,double,0.000522,10,,,low,True,include_numeric
v114,numeric,double,0.000522,7,,,low,True,include_numeric
v115,numeric,double,0.000522,6,,,low,True,include_numeric
v116,numeric,double,0.000522,7,,,low,True,include_numeric
v117,numeric,double,0.000522,3,,,low,True,include_numeric
v118,numeric,double,0.000522,2,,,low,True,include_numeric
v119,numeric,double,0.000522,3,,,low,True,include_numeric
v12,numeric,double,0.159771,4,,,low,True,include_numeric
v120,numeric,double,0.000522,4,,,low,True,include_numeric
v121,numeric,double,0.000522,3,,,low,True,include_numeric
v122,numeric,double,0.000522,4,,,low,True,include_numeric
v123,numeric,double,0.000522,14,,,medium,True,include_numeric
v124,numeric,double,0.000522,13,,,medium,True,include_numeric
v125,numeric,double,0.000522,14,,,medium,True,include_numeric
v126,numeric,double,0.000522,2279,,,high,True,include_numeric
v127,numeric,double,0.000522,4204,,,high,True,include_numeric
v128,numeric,double,0.000522,2979,,,high,True,include_numeric
v129,numeric,double,0.000522,399,,,high,True,include_numeric
v13,numeric,double,0.159771,6,,,low,True,include_numeric
v130,numeric,double,0.000522,1962,,,high,True,include_numeric
v131,numeric,double,0.000522,983,,,high,True,include_numeric
v132,numeric,double,0.000522,1607,,,high,True,include_numeric
v133,numeric,double,0.000522,2342,,,high,True,include_numeric
v134,numeric,double,0.000522,1960,,,high,True,include_numeric
v135,numeric,double,0.000522,583,,,high,True,include_numeric
v136,numeric,double,0.000522,816,,,high,True,include_numeric
v137,numeric,double,0.000522,679,,,high,True,include_numeric
v138,numeric,double,0.841412,10,,,low,True,include_numeric
v139,numeric,double,0.841412,24,,,medium,True,include_numeric
v14,numeric,double,0.159771,2,,,low,True,include_numeric
v140,numeric,double,0.841412,26,,,medium,True,include_numeric
v141,numeric,double,0.841412,5,,,low,True,include_numeric
v142,numeric,double,0.841412,10,,,low,True,include_numeric
v143,numeric,double,0.841412,71,,,high,True,include_numeric
v144,numeric,double,0.841412,53,,,high,True,include_numeric
v145,numeric,double,0.841412,138,,,high,True,include_numeric
v146,numeric,double,0.841412,22,,,medium,True,include_numeric
v147,numeric,double,0.841412,26,,,medium,True,include_numeric
v148,numeric,double,0.841412,20,,,medium,True,include_numeric
v149,numeric,double,0.841412,20,,,medium,True,include_numeric
v15,numeric,double,0.159771,6,,,low,True,include_numeric
v150,numeric,double,0.841412,311,,,high,True,include_numeric
v151,numeric,double,0.841412,43,,,high,True,include_numeric
v152,numeric,double,0.841412,37,,,high,True,include_numeric
v153,numeric,double,0.841412,18,,,medium,True,include_numeric
v154,numeric,double,0.841412,18,,,medium,True,include_numeric
v155,numeric,double,0.841412,22,,,medium,True,include_numeric
v156,numeric,double,0.841412,24,,,medium,True,include_numeric
v157,numeric,double,0.841412,22,,,medium,True,include_numeric
v158,numeric,double,0.841412,24,,,medium,True,include_numeric
v159,numeric,double,0.841412,353,,,high,True,include_numeric
v16,numeric,double,0.159771,7,,,low,True,include_numeric
v160,numeric,double,0.841412,466,,,high,True,include_numeric
v161,numeric,double,0.841412,35,,,high,True,include_numeric
v162,numeric,double,0.841412,71,,,high,True,include_numeric
v163,numeric,double,0.841412,50,,,high,True,include_numeric
v164,numeric,double,0.841412,279,,,high,True,include_numeric
v165,numeric,double,0.841412,375,,,high,True,include_numeric
v166,numeric,double,0.841412,313,,,high,True,include_numeric
v167,numeric,double,0.616551,74,,,high,True,include_numeric
v168,numeric,double,0.616551,98,,,high,True,include_numeric
v169,numeric,double,0.615508,19,,,medium,True,include_numeric
v17,numeric,double,0.159771,14,,,medium,True,include_numeric
v170,numeric,double,0.615508,45,,,high,True,include_numeric
v171,numeric,double,0.615508,57,,,high,True,include_numeric
v172,numeric,double,0.616551,16,,,medium,True,include_numeric
v173,numeric,double,0.616551,4,,,low,True,include_numeric
v174,numeric,double,0.615508,6,,,low,True,include_numeric
v175,numeric,double,0.615508,15,,,medium,True,include_numeric
v176,numeric,double,0.616551,45,,,high,True,include_numeric
v177,numeric,double,0.616551,70,,,high,True,include_numeric
v178,numeric,double,0.616551,94,,,high,True,include_numeric
v179,numeric,double,0.616551,86,,,high,True,include_numeric
v18,numeric,double,0.159771,14,,,medium,True,include_numeric
v180,numeric,double,0.615508,53,,,high,True,include_numeric
v181,numeric,double,0.616551,24,,,medium,True,include_numeric
v182,numeric,double,0.616551,45,,,high,True,include_numeric
v183,numeric,double,0.616551,32,,,high,True,include_numeric
v184,numeric,double,0.615508,16,,,medium,True,include_numeric
v185,numeric,double,0.615508,29,,,medium,True,include_numeric
v186,numeric,double,0.616551,27,,,medium,True,include_numeric
v187,numeric,double,0.616551,59,,,high,True,include_numeric
v188,numeric,double,0.615508,29,,,medium,True,include_numeric
v189,numeric,double,0.615508,29,,,medium,True,include_numeric
v19,numeric,double,0.159771,6,,,low,True,include_numeric
v190,numeric,double,0.616551,39,,,high,True,include_numeric
v191,numeric,double,0.616551,18,,,medium,True,include_numeric
v192,numeric,double,0.616551,30,,,medium,True,include_numeric
v193,numeric,double,0.616551,28,,,medium,True,include_numeric
v194,numeric,double,0.615508,7,,,low,True,include_numeric
v195,numeric,double,0.615508,17,,,medium,True,include_numeric
v196,numeric,double,0.616551,25,,,medium,True,include_numeric
v197,numeric,double,0.615508,15,,,medium,True,include_numeric
v198,numeric,double,0.615508,20,,,medium,True,include_numeric
v199,numeric,double,0.616551,42,,,high,True,include_numeric
v2,numeric,double,0.585535,6,,,low,True,include_numeric
v20,numeric,double,0.159771,7,,,low,True,include_numeric
v200,numeric,double,0.615508,42,,,high,True,include_numeric
v201,numeric,double,0.615508,50,,,high,True,include_numeric
v202,numeric,double,0.616551,2760,,,high,True,include_numeric
v203,numeric,double,0.616551,3452,,,high,True,include_numeric
v204,numeric,double,0.616551,3185,,,high,True,include_numeric
v205,numeric,double,0.616551,315,,,high,True,include_numeric
v206,numeric,double,0.616551,211,,,high,True,include_numeric
v207,numeric,double,0.616551,466,,,high,True,include_numeric
v208,numeric,double,0.615508,394,,,high,True,include_numeric
v209,numeric,double,0.615508,481,,,high,True,include_numeric
v21,numeric,double,0.159771,5,,,low,True,include_numeric
v210,numeric,double,0.615508,435,,,high,True,include_numeric
v211,numeric,double,0.616551,2269,,,high,True,include_numeric
v212,numeric,double,0.616551,2590,,,high,True,include_numeric
v213,numeric,double,0.616551,2481,,,high,True,include_numeric
v214,numeric,double,0.616551,464,,,high,True,include_numeric
v215,numeric,double,0.616551,577,,,high,True,include_numeric
v216,numeric,double,0.616551,535,,,high,True,include_numeric
v217,numeric,double,0.64388,56,,,high,True,include_numeric
v218,numeric,double,0.64388,74,,,high,True,include_numeric
v219,numeric,double,0.64388,60,,,high,True,include_numeric
v22,numeric,double,0.159771,8,,,low,True,include_numeric
v220,numeric,double,0.616203,26,,,medium,True,include_numeric
v221,numeric,double,0.616203,53,,,high,True,include_numeric
v222,numeric,double,0.616203,55,,,high,True,include_numeric
v223,numeric,double,0.64388,8,,,low,True,include_numeric
v224,numeric,double,0.64388,27,,,medium,True,include_numeric
v225,numeric,double,0.64388,19,,,medium,True,include_numeric
v226,numeric,double,0.64388,30,,,medium,True,include_numeric
v227,numeric,double,0.616203,22,,,medium,True,include_numeric
v228,numeric,double,0.64388,44,,,high,True,include_numeric
v229,numeric,double,0.64388,47,,,high,True,include_numeric
v23,numeric,double,0.159771,13,,,medium,True,include_numeric
v230,numeric,double,0.64388,46,,,high,True,include_numeric
v231,numeric,double,0.64388,54,,,high,True,include_numeric
v232,numeric,double,0.64388,60,,,high,True,include_numeric
v233,numeric,double,0.64388,55,,,high,True,include_numeric
v234,numeric,double,0.616203,85,,,high,True,include_numeric
v235,numeric,double,0.64388,22,,,medium,True,include_numeric
v236,numeric,double,0.64388,28,,,medium,True,include_numeric
v237,numeric,double,0.64388,27,,,medium,True,include_numeric
v238,numeric,double,0.616203,21,,,medium,True,include_numeric
v239,numeric,double,0.616203,22,,,medium,True,include_numeric
v24,numeric,double,0.159771,13,,,medium,True,include_numeric
v240,numeric,double,0.64388,2,,,low,True,include_numeric
v241,numeric,double,0.64388,2,,,low,True,include_numeric
v242,numeric,double,0.64388,21,,,medium,True,include_numeric
v243,numeric,double,0.64388,21,,,medium,True,include_numeric
v244,numeric,double,0.64388,24,,,medium,True,include_numeric
v245,numeric,double,0.616203,33,,,high,True,include_numeric
v246,numeric,double,0.64388,37,,,high,True,include_numeric
v247,numeric,double,0.64388,17,,,medium,True,include_numeric
v248,numeric,double,0.64388,18,,,medium,True,include_numeric
v249,numeric,double,0.64388,17,,,medium,True,include_numeric
v25,numeric,double,0.159771,6,,,low,True,include_numeric
v250,numeric,double,0.616203,17,,,medium,True,include_numeric
v251,numeric,double,0.616203,17,,,medium,True,include_numeric
v252,numeric,double,0.64388,22,,,medium,True,include_numeric
v253,numeric,double,0.64388,26,,,medium,True,include_numeric
v254,numeric,double,0.64388,22,,,medium,True,include_numeric
v255,numeric,double,0.616203,28,,,medium,True,include_numeric
v256,numeric,double,0.616203,30,,,medium,True,include_numeric
v257,numeric,double,0.64388,43,,,high,True,include_numeric
v258,numeric,double,0.64388,43,,,high,True,include_numeric
v259,numeric,double,0.616203,46,,,high,True,include_numeric
v26,numeric,double,0.159771,8,,,low,True,include_numeric
v260,numeric,double,0.64388,9,,,low,True,include_numeric
v261,numeric,double,0.64388,26,,,medium,True,include_numeric
v262,numeric,double,0.64388,16,,,medium,True,include_numeric
v263,numeric,double,0.64388,2706,,,high,True,include_numeric
v264,numeric,double,0.64388,3293,,,high,True,include_numeric
v265,numeric,double,0.64388,3109,,,high,True,include_numeric
v266,numeric,double,0.64388,324,,,high,True,include_numeric
v267,numeric,double,0.64388,535,,,high,True,include_numeric
v268,numeric,double,0.64388,437,,,high,True,include_numeric
v269,numeric,double,0.64388,47,,,high,True,include_numeric
v27,numeric,double,0.159771,2,,,low,True,include_numeric
v270,numeric,double,0.616203,355,,,high,True,include_numeric
v271,numeric,double,0.616203,437,,,high,True,include_numeric
v272,numeric,double,0.616203,394,,,high,True,include_numeric
v273,numeric,double,0.64388,2354,,,high,True,include_numeric
v274,numeric,double,0.64388,2822,,,high,True,include_numeric
v275,numeric,double,0.64388,2635,,,high,True,include_numeric
v276,numeric,double,0.64388,486,,,high,True,include_numeric
v277,numeric,double,0.64388,535,,,high,True,include_numeric
v278,numeric,double,0.64388,530,,,high,True,include_numeric
v279,numeric,double,7e-05,67,,,high,True,include_numeric
v28,numeric,double,0.159771,3,,,low,True,include_numeric
v280,numeric,double,7e-05,99,,,high,True,include_numeric
v281,numeric,double,0.002608,15,,,medium,True,include_numeric
v282,numeric,double,0.002608,17,,,medium,True,include_numeric
v283,numeric,double,0.002608,42,,,high,True,include_numeric
v284,numeric,double,7e-05,9,,,low,True,include_numeric
v285,numeric,double,7e-05,43,,,high,True,include_numeric
v286,numeric,double,7e-05,4,,,low,True,include_numeric
v287,numeric,double,7e-05,21,,,medium,True,include_numeric
v288,numeric,double,0.002608,8,,,low,True,include_numeric
v289,numeric,double,0.002608,12,,,medium,True,include_numeric
v29,numeric,double,0.159771,5,,,low,True,include_numeric
v290,numeric,double,7e-05,33,,,high,True,include_numeric
v291,numeric,double,7e-05,62,,,high,True,include_numeric
v292,numeric,double,7e-05,54,,,high,True,include_numeric
v293,numeric,double,7e-05,64,,,high,True,include_numeric
v294,numeric,double,7e-05,120,,,high,True,include_numeric
v295,numeric,double,7e-05,97,,,high,True,include_numeric
v296,numeric,double,0.002608,41,,,high,True,include_numeric
v297,numeric,double,7e-05,13,,,medium,True,include_numeric
v298,numeric,double,7e-05,36,,,high,True,include_numeric
v299,numeric,double,7e-05,26,,,medium,True,include_numeric
v3,numeric,double,0.585535,7,,,low,True,include_numeric
v30,numeric,double,0.159771,6,,,low,True,include_numeric
v300,numeric,double,0.002608,12,,,medium,True,include_numeric
v301,numeric,double,0.002608,12,,,medium,True,include_numeric
v302,numeric,double,7e-05,8,,,low,True,include_numeric
v303,numeric,double,7e-05,14,,,medium,True,include_numeric
v304,numeric,double,7e-05,10,,,low,True,include_numeric
v305,numeric,double,7e-05,1,,,constant,False,drop_constant_or_empty
v306,numeric,double,7e-05,2590,,,high,True,include_numeric
v307,numeric,double,7e-05,5870,,,high,True,include_numeric
v308,numeric,double,7e-05,3845,,,high,True,include_numeric
v309,numeric,double,7e-05,787,,,high,True,include_numeric
v31,numeric,double,0.159771,6,,,low,True,include_numeric
v310,numeric,double,7e-05,3176,,,high,True,include_numeric
v311,numeric,double,7e-05,447,,,high,True,include_numeric
v312,numeric,double,7e-05,1537,,,high,True,include_numeric
v313,numeric,double,0.002608,1089,,,high,True,include_numeric
v314,numeric,double,0.002608,1949,,,high,True,include_numeric
v315,numeric,double,0.002608,1437,,,high,True,include_numeric
v316,numeric,double,7e-05,1568,,,high,True,include_numeric
v317,numeric,double,7e-05,2948,,,high,True,include_numeric
v318,numeric,double,7e-05,2368,,,high,True,include_numeric
v319,numeric,double,7e-05,642,,,high,True,include_numeric
v32,numeric,double,0.159771,7,,,low,True,include_numeric
v320,numeric,double,7e-05,1026,,,high,True,include_numeric
v321,numeric,double,7e-05,847,,,high,True,include_numeric
v322,numeric,double,0.84016,48,,,high,True,include_numeric
v323,numeric,double,0.84016,68,,,high,True,include_numeric
v324,numeric,double,0.84016,55,,,high,True,include_numeric
v325,numeric,double,0.84016,7,,,low,True,include_numeric
v326,numeric,double,0.84016,29,,,medium,True,include_numeric
v327,numeric,double,0.84016,18,,,medium,True,include_numeric
v328,numeric,double,0.84016,15,,,medium,True,include_numeric
v329,numeric,double,0.84016,21,,,medium,True,include_numeric
v33,numeric,double,0.159771,6,,,low,True,include_numeric
v330,numeric,double,0.84016,21,,,medium,True,include_numeric
v331,numeric,double,0.84016,155,,,high,True,include_numeric
v332,numeric,double,0.84016,265,,,high,True,include_numeric
v333,numeric,double,0.84016,205,,,high,True,include_numeric
v334,numeric,double,0.84016,55,,,high,True,include_numeric
v335,numeric,double,0.84016,153,,,high,True,include_numeric
v336,numeric,double,0.84016,104,,,high,True,include_numeric
v337,numeric,double,0.84016,73,,,high,True,include_numeric
v338,numeric,double,0.84016,93,,,high,True,include_numeric
v339,numeric,double,0.84016,86,,,high,True,include_numeric
v34,numeric,double,0.159771,8,,,low,True,include_numeric
v35,numeric,double,0.288769,4,,,low,True,include_numeric
v36,numeric,double,0.288769,5,,,low,True,include_numeric
v37,numeric,double,0.288769,43,,,high,True,include_numeric
v38,numeric,double,0.288769,47,,,high,True,include_numeric
v39,numeric,double,0.288769,15,,,medium,True,include_numeric
v4,numeric,double,0.585535,5,,,low,True,include_numeric
v40,numeric,double,0.288769,17,,,medium,True,include_numeric
v41,numeric,double,0.288769,2,,,low,True,include_numeric
v42,numeric,double,0.288769,6,,,low,True,include_numeric
v43,numeric,double,0.288769,8,,,low,True,include_numeric
v44,numeric,double,0.288769,43,,,high,True,include_numeric
v45,numeric,double,0.288769,43,,,high,True,include_numeric
v46,numeric,double,0.288769,7,,,low,True,include_numeric
v47,numeric,double,0.288769,9,,,low,True,include_numeric
v48,numeric,double,0.288769,5,,,low,True,include_numeric
v49,numeric,double,0.288769,6,,,low,True,include_numeric
v5,numeric,double,0.585535,7,,,low,True,include_numeric
v50,numeric,double,0.288769,5,,,low,True,include_numeric
v51,numeric,double,0.288769,7,,,low,True,include_numeric
v52,numeric,double,0.288769,9,,,low,True,include_numeric
v53,numeric,double,0.175278,4,,,low,True,include_numeric
v54,numeric,double,0.175278,6,,,low,True,include_numeric
v55,numeric,double,0.175278,11,,,medium,True,include_numeric
v56,numeric,double,0.175278,27,,,medium,True,include_numeric
v57,numeric,double,0.175278,6,,,low,True,include_numeric
v58,numeric,double,0.175278,7,,,low,True,include_numeric
v59,numeric,double,0.175278,6,,,low,True,include_numeric
v6,numeric,double,0.585535,6,,,low,True,include_numeric
v60,numeric,double,0.175278,10,,,low,True,include_numeric
v61,numeric,double,0.175278,6,,,low,True,include_numeric
v62,numeric,double,0.175278,8,,,low,True,include_numeric
v63,numeric,double,0.175278,8,,,low,True,include_numeric
v64,numeric,double,0.175278,8,,,low,True,include_numeric
v65,numeric,double,0.175278,2,,,low,True,include_numeric
v66,numeric,double,0.175278,7,,,low,True,include_numeric
v67,numeric,double,0.175278,8,,,low,True,include_numeric
v68,numeric,double,0.175278,2,,,low,True,include_numeric
v69,numeric,double,0.175278,6,,,low,True,include_numeric
v7,numeric,double,0.585535,6,,,low,True,include_numeric
v70,numeric,double,0.175278,7,,,low,True,include_numeric
v71,numeric,double,0.175278,6,,,low,True,include_numeric
v72,numeric,double,0.175278,7,,,low,True,include_numeric
v73,numeric,double,0.175278,7,,,low,True,include_numeric
v74,numeric,double,0.175278,8,,,low,True,include_numeric
v75,numeric,double,0.180424,4,,,low,True,include_numeric
v76,numeric,double,0.180424,6,,,low,True,include_numeric
v77,numeric,double,0.180424,28,,,medium,True,include_numeric
v78,numeric,double,0.180424,31,,,high,True,include_numeric
v79,numeric,double,0.180424,8,,,low,True,include_numeric
v8,numeric,double,0.585535,5,,,low,True,include_numeric
v80,numeric,double,0.180424,19,,,medium,True,include_numeric
v81,numeric,double,0.180424,19,,,medium,True,include_numeric
v82,numeric,double,0.180424,7,,,low,True,include_numeric
v83,numeric,double,0.180424,8,,,low,True,include_numeric
v84,numeric,double,0.180424,7,,,low,True,include_numeric
v85,numeric,double,0.180424,8,,,low,True,include_numeric
v86,numeric,double,0.180424,27,,,medium,True,include_numeric
v87,numeric,double,0.180424,28,,,medium,True,include_numeric
v88,numeric,double,0.180424,2,,,low,True,include_numeric
v89,numeric,double,0.180424,3,,,low,True,include_numeric
v9,numeric,double,0.585535,5,,,low,True,include_numeric
v90,numeric,double,0.180424,6,,,low,True,include_numeric
v91,numeric,double,0.180424,7,,,low,True,include_numeric
v92,numeric,double,0.180424,7,,,low,True,include_numeric
v93,numeric,double,0.180424,8,,,low,True,include_numeric
v94,numeric,double,0.180424,2,,,low,True,include_numeric
v95,numeric,double,0.000522,46,,,high,True,include_numeric
v96,numeric,double,0.000522,95,,,high,True,include_numeric
v97,numeric,double,0.000522,59,,,high,True,include_numeric
v98,numeric,double,0.000522,7,,,low,True,include_numeric
v99,numeric,double,0.000522,39,,,high,True,include_numeric
